user_id,signup_date,country,platform,acquisition_channel
179,2026-06-09,USA,iOS,Referral
180,2026-04-06,UK,Web,Organic
181,2026-06-29,India,Web,Direct
182,2026-04-23,India,Android,Paid Search
183,2026-03-03,UK,Android,LinkedIn
184,2026-02-21,USA,Android,Organic
185,2026-01-12,India,Android,Referral
186,2026-02-08,UK,Web,Paid Search
187,2026-05-10,Germany,iOS,Organic
188,2026-05-11,USA,Web,Paid Search
189,2026-04-23,Germany,iOS,Organic
190,2026-04-11,UAE,Web,Paid Search
191,2026-04-23,India,iOS,Paid Search
192,2026-03-22,USA,Web,Direct
193,2026-04-23,UAE,Web,Paid Search
194,2026-01-02,India,Android,Paid Search
195,2026-05-10,India,Web,Direct
196,2026-02-23,UAE,Web,Referral
197,2026-03-28,India,Web,Paid Search
198,2026-05-09,India,Web,Paid Search
199,2026-05-27,India,Web,Direct
200,2026-05-06,India,Android,Paid Search
201,2026-05-10,UK,Web,Paid Search
202,2026-02-22,UK,Web,LinkedIn
203,2026-06-21,USA,Web,Organic
204,2026-06-09,India,iOS,Direct
205,2026-06-09,India,Android,Paid Search
206,2026-03-09,UK,iOS,Referral
207,2026-05-03,UK,iOS,LinkedIn
208,2026-05-25,UK,Android,Organic
209,2026-02-07,UAE,Android,Direct
210,2026-01-24,Germany,iOS,Direct
211,2026-03-10,India,Web,Paid Search
212,2026-04-26,UAE,iOS,Direct
213,2026-04-08,USA,Web,Organic
214,2026-05-19,UK,iOS,Direct
215,2026-05-24,India,Android,Paid Search
216,2026-04-07,UAE,iOS,Paid Search
217,2026-05-04,USA,Android,Organic
218,2026-03-11,India,Web,Paid Search
219,2026-04-03,India,Web,Organic
220,2026-01-03,India,Web,Direct
221,2026-05-28,USA,Android,Direct
222,2026-06-13,India,Android,Organic
223,2026-05-27,Germany,iOS,Organic
224,2026-03-31,UK,iOS,Direct
225,2026-05-27,Germany,iOS,Paid Search
226,2026-05-28,Germany,Android,Organic
227,2026-04-06,UAE,Android,Referral
228,2026-02-21,India,iOS,Paid Search
229,2026-06-10,India,iOS,Organic
230,2026-06-17,India,Web,LinkedIn
231,2026-05-08,USA,iOS,Referral
232,2026-02-08,India,Web,Organic
233,2026-03-23,India,Web,Direct
234,2026-04-14,UAE,Android,Referral
235,2026-05-09,Germany,Web,Organic
236,2026-01-11,India,Android,Organic
237,2026-06-27,India,Web,Organic
238,2026-05-31,India,Web,Paid Search
239,2026-06-08,Germany,Web,Organic
240,2026-02-11,UK,Web,Paid Search
241,2026-04-09,India,Web,Organic
242,2026-01-07,India,Web,LinkedIn
243,2026-05-24,India,Web,LinkedIn
244,2026-03-31,India,Web,Referral
245,2026-04-22,Germany,Web,LinkedIn
246,2026-03-01,USA,iOS,Direct
247,2026-04-23,UAE,Web,Referral
248,2026-01-02,Germany,iOS,Paid Search
249,2026-05-09,India,Android,Paid Search
250,2026-02-17,USA,Web,Direct
251,2026-05-20,Germany,Android,Organic
252,2026-02-06,UAE,iOS,Paid Search
253,2026-06-09,USA,iOS,Referral
254,2026-01-09,India,Web,LinkedIn
255,2026-04-09,India,Android,LinkedIn
256,2026-05-27,India,Android,Paid Search
257,2026-02-17,UAE,Web,Organic
258,2026-05-11,USA,Web,Direct
259,2026-05-28,Germany,Web,Organic
260,2026-06-01,UK,iOS,Organic
261,2026-02-23,Germany,Web,Paid Search
262,2026-04-30,USA,iOS,Direct
263,2026-06-10,India,Web,LinkedIn
264,2026-06-01,UAE,Android,Direct
265,2026-04-26,India,Web,Organic
266,2026-03-16,USA,Web,Paid Search
267,2026-04-23,Germany,iOS,Organic
268,2026-06-13,India,Web,Direct
269,2026-06-15,USA,Web,Paid Search
270,2026-04-14,UK,Web,Organic
271,2026-03-25,UK,Web,LinkedIn
272,2026-04-22,UAE,Android,Paid Search
273,2026-04-09,UAE,Android,Referral
274,2026-06-02,India,Web,Direct
275,2026-04-03,India,Web,Organic
276,2026-05-26,India,Web,Organic
277,2026-05-08,UK,iOS,Organic
278,2026-04-20,India,Web,Paid Search
279,2026-03-23,Germany,Web,Organic
280,2026-02-23,UK,Web,LinkedIn
281,2026-06-12,USA,Android,Organic
282,2026-06-18,UAE,Web,Direct
283,2026-06-10,UK,Android,Organic
284,2026-03-09,Germany,Web,Organic
285,2026-02-02,India,Web,Organic
286,2026-05-22,India,Web,LinkedIn
287,2026-01-21,USA,Web,Paid Search
288,2026-02-17,India,Web,Direct
289,2026-05-28,India,Web,LinkedIn
290,2026-05-08,UAE,Web,Direct
291,2026-05-16,India,Web,LinkedIn
292,2026-05-15,UK,Web,Organic
293,2026-05-25,India,Android,Direct
294,2026-05-08,Germany,Web,Direct
295,2026-02-02,USA,iOS,Direct
296,2026-06-25,USA,Web,Organic
297,2026-04-25,UK,Web,Referral
298,2026-04-29,Germany,Web,Organic
299,2026-01-22,India,Web,Organic
300,2026-06-07,Germany,Web,LinkedIn
301,2026-02-07,USA,Web,Direct
302,2026-04-19,USA,Android,Referral
303,2026-02-20,UK,Web,Direct
304,2026-01-08,India,Web,Organic
305,2026-01-27,UAE,Web,Organic
306,2026-01-27,USA,iOS,Referral
307,2026-01-21,India,Android,Paid Search
308,2026-01-30,USA,Web,Direct
309,2026-04-07,India,Web,Paid Search
310,2026-01-28,India,Web,Paid Search
311,2026-04-21,India,Web,Referral
312,2026-03-02,India,iOS,Organic
313,2026-02-17,UK,iOS,Direct
314,2026-05-27,India,Web,Paid Search
315,2026-01-04,Germany,Web,Paid Search
316,2026-02-04,UK,iOS,Direct
317,2026-02-18,India,Web,Paid Search
318,2026-01-17,USA,Web,Direct
319,2026-06-21,Germany,Android,Organic
320,2026-06-07,USA,Web,Organic
321,2026-02-15,India,Web,Direct
322,2026-04-27,Germany,Web,Direct
323,2026-01-06,USA,iOS,Paid Search
324,2026-04-09,India,Web,Referral
325,2026-05-04,India,Android,Direct
326,2026-02-06,UK,iOS,Organic
327,2026-01-24,India,Web,Organic
328,2026-04-03,USA,Web,Referral
329,2026-02-15,UAE,Web,Organic
330,2026-06-30,Germany,Web,Organic
331,2026-04-05,UK,Android,Direct
332,2026-04-09,India,iOS,Organic
333,2026-04-26,India,Web,Direct
334,2026-06-09,UK,iOS,Referral
335,2026-06-10,USA,Web,Referral
336,2026-03-08,USA,Android,LinkedIn
337,2026-05-08,India,iOS,Paid Search
338,2026-01-18,India,Web,Organic
339,2026-01-25,India,Web,Organic
340,2026-02-23,USA,Android,LinkedIn
341,2026-02-27,India,Android,Organic
342,2026-03-08,UAE,Web,Organic
343,2026-04-14,UK,Web,Direct
344,2026-06-23,Germany,iOS,Direct
345,2026-01-24,India,Web,Paid Search
346,2026-04-24,India,Web,Organic
347,2026-02-01,USA,Web,LinkedIn
348,2026-06-24,UK,Web,Direct
349,2026-03-27,India,Web,Organic
350,2026-05-31,Germany,Android,Organic
351,2026-05-07,USA,iOS,Direct
352,2026-06-04,India,Web,Direct
353,2026-05-10,India,Web,LinkedIn
354,2026-01-17,UK,Web,Organic
355,2026-04-14,USA,Web,Paid Search
356,2026-06-10,India,Android,Referral
357,2026-05-17,USA,Web,Organic
358,2026-02-12,UK,Android,Organic
359,2026-06-25,India,Web,Organic
360,2026-02-08,USA,iOS,Referral
361,2026-06-19,Germany,Web,Referral
362,2026-01-26,India,Web,Direct
363,2026-04-09,India,Web,LinkedIn
364,2026-02-19,UAE,Android,Direct
365,2026-06-02,Germany,Android,Direct
366,2026-06-01,Germany,Android,Organic
367,2026-01-13,UAE,iOS,Paid Search
368,2026-03-01,USA,Android,Referral
369,2026-05-15,UK,Web,Organic
370,2026-02-26,UK,Web,Direct
371,2026-02-05,India,iOS,Organic
372,2026-06-22,India,iOS,Paid Search
373,2026-01-20,India,iOS,Referral
374,2026-03-06,UK,Web,Referral
375,2026-01-08,India,Web,LinkedIn
376,2026-05-24,Germany,Android,Referral
377,2026-05-22,India,iOS,Organic
378,2026-04-25,India,Web,Organic
379,2026-05-23,UK,Android,Direct
380,2026-04-02,USA,Android,Organic
381,2026-04-08,India,Web,Organic
382,2026-03-07,India,Android,Paid Search
383,2026-02-01,Germany,Android,Organic
384,2026-03-27,India,Android,Referral
385,2026-02-20,India,Android,LinkedIn
386,2026-06-02,USA,Web,LinkedIn
387,2026-03-04,India,Web,LinkedIn
388,2026-05-05,UAE,Web,Organic
389,2026-05-30,UAE,Web,Paid Search
390,2026-02-27,India,Web,Organic
391,2026-02-27,India,Web,Organic
392,2026-03-27,India,Web,Paid Search
393,2026-02-18,India,Web,Organic
394,2026-06-29,India,Web,LinkedIn
395,2026-06-19,USA,Android,LinkedIn
396,2026-03-11,UAE,Web,Direct
397,2026-01-15,UAE,iOS,LinkedIn
398,2026-02-23,Germany,Web,Organic
399,2026-04-11,USA,Web,Paid Search
400,2026-01-08,India,Android,Organic
401,2026-02-22,Germany,Web,Paid Search
402,2026-03-01,India,Web,Organic
403,2026-04-18,India,Web,Organic
404,2026-01-05,USA,Web,Referral
405,2026-04-13,UK,Web,LinkedIn
406,2026-01-06,UAE,Web,LinkedIn
407,2026-04-19,India,Web,Paid Search
408,2026-04-26,UK,Android,Referral
409,2026-04-04,India,iOS,Referral
410,2026-02-16,Germany,Web,LinkedIn
411,2026-04-09,India,Web,Organic
412,2026-02-24,Germany,Web,LinkedIn
413,2026-06-17,UK,Web,Referral
414,2026-02-21,USA,Web,Organic
415,2026-05-24,USA,Android,Organic
416,2026-01-13,USA,Web,Organic
417,2026-04-24,India,Android,Referral
418,2026-05-04,India,Web,LinkedIn
419,2026-04-16,India,Android,Paid Search
420,2026-06-07,Germany,iOS,Paid Search
421,2026-05-27,USA,iOS,Direct
422,2026-05-25,UAE,Web,Organic
423,2026-04-30,India,Android,Organic
424,2026-03-04,UAE,Android,Paid Search
425,2026-01-19,UK,iOS,LinkedIn
426,2026-04-02,UAE,Web,Referral
427,2026-02-27,USA,iOS,Paid Search
428,2026-03-31,Germany,Web,Direct
429,2026-04-27,India,iOS,LinkedIn
430,2026-03-03,UAE,Android,Organic
431,2026-01-23,UAE,Web,LinkedIn
432,2026-05-07,India,Web,Organic
433,2026-05-17,India,Web,LinkedIn
434,2026-05-20,India,iOS,Organic
435,2026-05-09,Germany,Web,LinkedIn
436,2026-02-27,UAE,Web,Paid Search
437,2026-05-02,UAE,Web,Direct
438,2026-01-01,Germany,Android,Paid Search
439,2026-02-03,USA,Web,Referral
440,2026-04-06,India,iOS,Organic
441,2026-05-06,UK,Web,Direct
442,2026-04-28,UAE,Android,LinkedIn
443,2026-02-17,USA,Android,Organic
444,2026-03-30,USA,Web,Direct
445,2026-04-27,USA,Web,Paid Search
446,2026-05-09,India,Android,LinkedIn
447,2026-01-16,USA,Web,LinkedIn
448,2026-03-10,India,Web,Organic
449,2026-01-22,India,Android,Direct
450,2026-04-03,India,Android,Paid Search
451,2026-03-17,India,iOS,Organic
452,2026-06-03,India,Web,Direct
453,2026-05-24,USA,Web,LinkedIn
454,2026-06-28,Germany,Web,Organic
455,2026-03-27,India,Android,Organic
456,2026-01-29,India,Android,LinkedIn
457,2026-03-10,India,Android,Organic
458,2026-02-16,India,Web,Direct
459,2026-04-04,India,iOS,LinkedIn
460,2026-05-24,Germany,Web,Paid Search
461,2026-06-25,India,Web,Paid Search
462,2026-03-26,UAE,Android,Referral
463,2026-02-08,India,Web,Paid Search
464,2026-04-10,Germany,iOS,LinkedIn
465,2026-02-02,USA,iOS,Direct
466,2026-04-11,Germany,Android,Referral
467,2026-01-23,USA,Android,Paid Search
468,2026-01-10,India,Android,Organic
469,2026-03-10,India,Web,LinkedIn
470,2026-04-10,USA,Web,LinkedIn
471,2026-02-03,UAE,Web,LinkedIn
472,2026-06-29,UK,Web,Organic
473,2026-05-18,India,iOS,Direct
474,2026-05-27,India,iOS,Paid Search
475,2026-04-06,UK,Web,LinkedIn
476,2026-01-01,UK,Web,LinkedIn
477,2026-03-10,USA,Web,LinkedIn
478,2026-01-04,India,iOS,Paid Search
479,2026-01-16,UK,iOS,Referral
480,2026-01-24,India,iOS,Organic
481,2026-03-21,India,Web,LinkedIn
482,2026-01-02,UAE,Web,Organic
483,2026-05-08,India,Android,Paid Search
484,2026-06-09,India,Android,Organic
485,2026-03-25,India,Web,Direct
486,2026-06-01,India,iOS,Referral
487,2026-05-20,India,Web,LinkedIn
488,2026-06-27,India,iOS,LinkedIn
489,2026-06-12,India,Android,Direct
490,2026-05-04,India,iOS,Organic
491,2026-02-02,UK,Web,LinkedIn
492,2026-06-10,India,Web,Referral
493,2026-06-28,India,iOS,Organic
494,2026-06-20,India,iOS,Organic
495,2026-04-11,USA,iOS,Organic
496,2026-01-12,Germany,iOS,Organic
497,2026-03-08,USA,Web,Paid Search
498,2026-03-06,USA,Android,Organic
499,2026-06-10,UAE,Android,Referral
500,2026-06-17,USA,Web,Organic
501,2026-03-15,UK,iOS,Organic
502,2026-02-12,India,Web,Direct
503,2026-02-13,India,Web,Referral
504,2026-01-29,India,Web,Organic
505,2026-05-21,Germany,iOS,Referral
506,2026-01-12,UK,Android,Organic
507,2026-04-05,USA,iOS,Organic
508,2026-02-15,India,Web,Organic
509,2026-05-10,UAE,Web,Direct
510,2026-02-04,India,Web,LinkedIn
511,2026-03-22,India,Web,LinkedIn
512,2026-03-31,USA,Android,Direct
513,2026-01-08,UK,Android,Direct
514,2026-04-03,India,Web,LinkedIn
515,2026-06-03,USA,iOS,LinkedIn
516,2026-03-31,India,Android,Paid Search
517,2026-06-11,Germany,Web,Organic
518,2026-04-25,India,Android,Referral
519,2026-04-15,India,iOS,Referral
520,2026-05-15,India,iOS,Direct
521,2026-02-27,India,Web,Paid Search
522,2026-04-24,India,iOS,LinkedIn
523,2026-03-16,UK,Android,Referral
524,2026-06-06,Germany,Web,Organic
525,2026-04-30,USA,Web,Referral
526,2026-06-13,India,Web,Referral
527,2026-01-21,UK,Android,Paid Search
528,2026-06-13,India,Web,Referral
529,2026-05-18,India,Android,Organic
530,2026-04-11,USA,Web,Paid Search
531,2026-06-01,UK,Web,Referral
532,2026-06-26,India,Web,Paid Search
533,2026-04-09,India,Web,Paid Search
534,2026-02-05,Germany,Web,Organic
535,2026-04-06,India,iOS,Organic
536,2026-06-01,UAE,Web,Paid Search
537,2026-05-31,UK,Web,Paid Search
538,2026-02-06,India,Web,Referral
539,2026-01-12,India,iOS,Direct
540,2026-04-23,UAE,iOS,Organic
541,2026-01-13,USA,iOS,Organic
542,2026-01-23,UK,Android,Paid Search
543,2026-04-09,UK,Web,Paid Search
544,2026-04-15,Germany,Web,Referral
545,2026-01-30,USA,Web,Direct
546,2026-01-17,UAE,Web,Direct
547,2026-04-23,UAE,iOS,Organic
548,2026-03-03,UK,Web,Direct
549,2026-03-25,USA,Web,Organic
550,2026-04-22,UK,Web,Referral
551,2026-03-27,UK,Android,LinkedIn
552,2026-05-21,India,Android,LinkedIn
553,2026-01-19,UAE,Web,Organic
554,2026-06-26,India,Web,Paid Search
555,2026-04-10,India,Android,Referral
556,2026-05-20,India,Android,Organic
557,2026-05-27,UK,Web,Organic
558,2026-03-17,UK,Web,Referral
559,2026-01-09,India,Android,Paid Search
560,2026-01-28,UAE,iOS,LinkedIn
561,2026-05-08,UAE,Web,Organic
562,2026-02-21,India,iOS,Direct
563,2026-03-24,USA,Android,Organic
564,2026-04-21,USA,Android,Direct
565,2026-05-24,USA,iOS,Paid Search
566,2026-04-27,UK,iOS,Referral
567,2026-03-10,UK,Web,Direct
568,2026-04-09,India,Android,Organic
569,2026-05-20,India,Web,Organic
570,2026-01-25,India,Android,Paid Search
571,2026-06-29,Germany,Web,Organic
572,2026-05-03,India,Android,Referral
573,2026-02-22,India,Web,Organic
574,2026-05-31,Germany,Web,Direct
575,2026-05-24,Germany,Web,Referral
576,2026-02-26,USA,iOS,Organic
577,2026-02-08,India,Android,Direct
578,2026-04-19,India,iOS,Paid Search
579,2026-06-30,UAE,Web,Paid Search
580,2026-02-11,India,Web,Paid Search
581,2026-06-16,India,Android,Referral
582,2026-05-22,UAE,iOS,Paid Search
583,2026-05-02,Germany,iOS,Referral
584,2026-05-13,India,Android,Organic
585,2026-06-12,USA,iOS,Direct
586,2026-03-16,USA,Web,LinkedIn
587,2026-05-26,India,iOS,Organic
588,2026-03-17,USA,iOS,LinkedIn
589,2026-01-09,India,Android,Referral
590,2026-03-15,India,Android,Organic
591,2026-05-25,USA,Web,Organic
592,2026-01-07,India,Web,Organic
593,2026-06-23,Germany,Web,Direct
594,2026-05-21,India,Web,Referral
595,2026-06-17,UK,iOS,Paid Search
596,2026-06-19,UAE,Android,Organic
597,2026-05-17,India,Web,Paid Search
598,2026-06-27,India,Web,Referral
599,2026-01-27,UK,Android,LinkedIn
600,2026-05-02,USA,Android,Direct
601,2026-01-05,USA,Web,Paid Search
602,2026-01-29,UAE,Android,Paid Search
603,2026-06-14,USA,Web,Paid Search
604,2026-06-15,USA,Web,Direct
605,2026-03-24,USA,Web,Organic
606,2026-05-16,UAE,Web,Paid Search
607,2026-04-19,UK,Web,LinkedIn
608,2026-03-06,USA,Android,Organic
609,2026-03-27,UAE,Android,Organic
610,2026-05-25,USA,Web,Referral
611,2026-03-12,UK,Web,Organic
612,2026-02-14,India,Web,Paid Search
613,2026-05-12,India,iOS,Paid Search
614,2026-02-05,UAE,Android,Paid Search
615,2026-03-11,UK,Web,Organic
616,2026-06-08,USA,Web,Direct
617,2026-01-19,India,iOS,Organic
618,2026-04-18,USA,iOS,LinkedIn
619,2026-06-16,Germany,Web,Organic
620,2026-04-01,India,iOS,Paid Search
621,2026-03-31,Germany,iOS,Organic
622,2026-01-19,Germany,Web,Organic
623,2026-02-08,USA,Web,Organic
624,2026-05-06,USA,Web,Paid Search
625,2026-06-22,Germany,Android,Referral
626,2026-05-21,UK,Android,Organic
627,2026-05-06,India,Android,Direct
628,2026-02-27,USA,iOS,Organic
629,2026-05-28,UK,iOS,Paid Search
630,2026-03-02,UK,iOS,Organic
631,2026-05-07,India,Android,Paid Search
632,2026-04-15,USA,Web,LinkedIn
633,2026-06-16,India,Web,Referral
634,2026-01-01,Germany,iOS,Organic
635,2026-05-11,India,iOS,Organic
636,2026-04-02,India,Web,LinkedIn
637,2026-04-23,UAE,iOS,Organic
638,2026-06-02,India,Android,Paid Search
639,2026-02-25,USA,Web,Organic
640,2026-06-10,Germany,Android,Organic
641,2026-06-15,USA,Web,Organic
642,2026-04-27,India,Android,Direct
643,2026-05-14,India,Web,LinkedIn
644,2026-02-27,USA,iOS,Referral
645,2026-02-13,Germany,Web,Organic
646,2026-06-22,UAE,Web,Referral
647,2026-06-09,UAE,iOS,Referral
648,2026-06-22,India,Web,Referral
649,2026-03-02,Germany,Web,Organic
650,2026-02-16,UK,Web,Direct
651,2026-05-29,India,Android,Paid Search
652,2026-03-21,India,Android,Direct
653,2026-04-28,Germany,Web,Organic
654,2026-06-13,India,iOS,Organic
655,2026-05-27,India,Android,Organic
656,2026-01-20,UK,iOS,LinkedIn
657,2026-05-26,India,Web,Paid Search
658,2026-02-16,India,iOS,Direct
659,2026-02-18,USA,Web,Direct
660,2026-01-14,Germany,Web,LinkedIn
661,2026-05-23,USA,Web,LinkedIn
662,2026-06-08,Germany,iOS,LinkedIn
663,2026-01-01,UK,Web,LinkedIn
664,2026-04-27,USA,Android,Paid Search
665,2026-02-23,UAE,Web,LinkedIn
666,2026-04-28,USA,Web,Direct
667,2026-01-03,Germany,Web,Paid Search
668,2026-05-24,India,Web,Direct
669,2026-01-12,UAE,Web,Organic
670,2026-03-15,UAE,Web,Paid Search
671,2026-01-16,India,Web,Organic
672,2026-04-12,India,Web,Organic
673,2026-06-01,USA,Web,Direct
674,2026-06-05,Germany,Web,Direct
675,2026-04-27,UAE,Android,LinkedIn
676,2026-01-08,India,iOS,Direct
677,2026-05-02,India,iOS,Organic
678,2026-04-02,Germany,Web,Organic
679,2026-06-13,UAE,iOS,Referral
680,2026-03-31,India,Android,Direct
681,2026-05-16,UAE,Web,Organic
682,2026-03-01,India,Web,Direct
683,2026-06-27,UAE,Web,Referral
684,2026-01-28,Germany,Web,Direct
685,2026-04-11,UK,Web,Paid Search
686,2026-02-10,USA,iOS,Paid Search
687,2026-06-04,UAE,Web,LinkedIn
688,2026-05-25,USA,Android,LinkedIn
689,2026-06-10,USA,Web,Organic
690,2026-06-06,India,Web,Direct
691,2026-05-21,UK,Android,Direct
692,2026-02-15,India,Android,Organic
693,2026-02-04,USA,Web,Organic
694,2026-05-14,UAE,iOS,Paid Search
695,2026-03-23,Germany,Android,Paid Search
696,2026-04-25,India,Web,LinkedIn
697,2026-02-16,USA,Web,Organic
698,2026-06-02,USA,Android,Referral
699,2026-01-10,USA,Web,Referral
700,2026-02-25,India,Web,Organic
